"filename", "language", "JSON with Comments", "JSON", "Markdown", "pip requirements", "TypeScript", "JavaScript", "Shell Script", "comment", "blank", "total"
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\bag\entities\bag_status.enum.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\bag\entities\lot_counter.entity.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 5, 13
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\chamber\chamber.controller.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 1, 14, 42
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\chamber\chamber.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\chamber\chamber.service.ts", "TypeScript", 0, 0, 0, 0, 84, 0, 0, 23, 52, 159
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\chamber\dto\chamber.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 1, 4, 17
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\chamber\entities\chamber.entity.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 14, 45
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\level\dto\level.dto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\level\entities\level.entity.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 10, 31
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\level\level.controller.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 2, 15, 45
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\level\level.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\level\level.service.ts", "TypeScript", 0, 0, 0, 0, 83, 0, 0, 6, 52, 141
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot-location\dto\lot-location.dto.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot-location\entities\lot-location.entity.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 9, 34
